X	Y	K
-15,52573767076660	14,07121612477380	1
-15,25369768368030	13,97420185514110	1
-15,08560845357840	14,21637149794840	1
-14,81778006487270	12,47792988189410	1
-14,81203054178480	13,28641995508220	1
-14,80828547769310	12,38778839627490	1
-14,77243071002820	14,77888820487650	1
-14,73044240227730	13,65701088500390	1
-14,72188139448300	14,65061063527750	1
-14,71181215614080	13,85691919711630	1
-14,70043823296770	16,46248556975100	1
-14,68197550546760	13,07026577671600	1
-14,67748403609480	15,17266632815420	1
-14,67229775393600	14,20690696000220	1
-14,66762032786990	14,87880188992790	1
-14,65354377199960	11,74968501194380	1
-14,62723203061290	14,97508317989610	1
-14,55143183946890	13,71859423412290	1
-14,53456700096900	12,85063100467800	1
-14,52528200144770	14,05416114473830	1
-14,48808288744540	13,48630249640130	1
-14,48309323449090	14,32369502127080	1
-14,47247109892010	13,74304728152300	1
-14,46675176745890	14,97560304757710	1
-14,44765506474180	14,24100477327190	1
-14,43982143104990	14,81367820117180	1
-14,42702342879630	14,29514766567780	1
-14,42296698673520	15,27088739275940	1
-14,41816673599710	14,40698575393740	1
-14,41666939071650	12,26390927597390	1
-14,40948371415110	12,97736231378160	1
-14,40264257923680	14,98637444503670	1
-14,39840964395480	14,55233201323880	1
-14,38519678639520	16,61732304876280	1
-14,36659878592890	12,27294025685550	1
-14,35972033481730	14,17288464313390	1
-14,33093398595060	13,64477093166880	1
-14,31567779976500	12,29520682419030	1
-14,31283046120610	14,20100105980830	1
-14,31217790944110	15,14439645721280	1
-14,28603066278820	14,69881556966100	1
-14,27420935946760	14,36541252266190	1
-14,27354656278330	14,39573302772460	1
-14,26252834453680	13,51341796928800	1
-14,24543310668950	13,10607178554800	1
-14,23781799047510	13,11026821805530	1
-14,23554890205020	13,04559504968030	1
-14,22982017082740	12,60476070434300	1
-14,22348245291860	15,33692107302210	1
-14,22197868096120	14,17453943269730	1
-14,21365798443330	13,55085638374140	1
-14,19614788452690	15,61138577593960	1
-14,19130530755420	12,87594730102020	1
-14,18798379392250	13,01965855910540	1
-14,18417873822500	15,33565805701560	1
-14,17611162252460	13,47809146327350	1
-14,15995094778430	13,51062394819730	1
-14,15395412440710	14,74511109099270	1
-14,14988656019630	15,22679276253490	1
-14,14217020736720	14,19959447650910	1
-14,13826460239020	14,54103365818190	1
-14,13616315891180	12,68346466362020	1
-14,13541898175100	11,94180437852770	1
-14,13342808053150	12,97999905694990	1
-14,10861555926020	14,56549396019240	1
-14,10639877258140	12,71944842232740	1
-14,10063890217890	12,48584418937750	1
-14,09846800347130	13,74948206316490	1
-14,09790565421870	12,04852812992280	1
-14,09722399044810	12,78151355112950	1
-14,09048392933420	14,87070924299830	1
-14,08272532924840	14,17953796651860	1
-14,07647497464220	13,35109344135030	1
-14,06806308061350	15,14517431705730	1
-14,06636114990690	13,49493720267330	1
-14,06311432553330	14,16194901273730	1
-14,05813254827240	13,10557734391030	1
-14,05154038041520	13,77641891377510	1
-14,04987139993230	14,02620691826300	1
-14,02588849063120	12,90773862602230	1
-14,01647260081730	15,15276935722120	1
-14,01521958081060	12,01613168373950	1
-14,01413357176520	14,40998475140690	1
-14,01389483860570	11,47522981236090	1
-14,00267532205660	13,82393685023570	1
-14,00081659065610	14,33601943531280	1
-14,00042944612970	13,91064820022570	1
-13,99232113059640	15,22031672238870	1
-13,99147940431580	13,57792199995530	1
-13,98439869602500	14,26708241999620	1
-13,98178665839700	13,85401012959840	1
-13,97924907127250	14,55665613279570	1
-13,96434286438150	16,45383820060490	1
-13,96137642729420	13,51960449782400	1
-13,95310638143460	14,03736237525870	1
-13,95138825510140	12,52523099504530	1
-13,94986267247640	13,79828115426120	1
-13,94706333495610	14,33141252442620	1
-13,93062826457120	12,88990161978660	1
-13,92844001629910	14,04183977595240	1
-13,92605342642500	15,12113414903460	1
-13,92482007771740	13,56162603053710	1
-13,92312245801090	14,61348500645580	1
-13,92213060667900	14,11529404670450	1
-13,91320403295280	14,47554260019010	1
-13,90562246572280	13,49306218797940	1
-13,90282424895350	12,28345309107970	1
-13,89992743874140	14,50219754407800	1
-13,88675639357730	13,42652830089830	1
-13,88412481168200	12,57135339240610	1
-13,86900252218660	14,11044212693490	1
-13,86539589565260	14,05456143887750	1
-13,86062270578940	12,94074240102950	1
-13,86006144291430	15,25169205879800	1
-13,85916738814650	13,92844046843730	1
-13,85910624812050	12,54846852649270	1
-13,85518784460510	15,45209758431910	1
-13,85387864974780	12,80831454034930	1
-13,84991119210870	15,51671088035290	1
-13,84321552845370	14,63525950128260	1
-13,84304439622640	16,04410849081040	1
-13,84231863174930	16,53711196305130	1
-13,84172745468190	14,59895974247520	1
-13,84171952980720	13,56577846814430	1
-13,84136658592060	13,00383401549660	1
-13,84013630170540	14,49034528118410	1
-13,83976925715230	13,41195726916160	1
-13,83961828243500	10,70255849418880	1
-13,83739893320980	13,30515024094110	1
-13,83672820505960	14,07169560049390	1
-13,83170877869580	13,45980615517690	1
-13,82083945096080	13,79328532829830	1
-13,81847505495960	15,38334016398830	1
-13,81647591266300	13,67702109761360	1
-13,81074627723100	13,49944878470520	1
-13,80756602403940	13,31667097368710	1
-13,80117408019290	13,24984090159630	1
-13,79990815400840	13,23535425447250	1
-13,79432222641710	13,46286249730430	1
-13,79195813582280	12,17506398113000	1
-13,79154927963150	14,03595192044070	1
-13,79118714405680	15,44184732159720	1
-13,79093932961880	13,01422128375110	1
-13,79092882718290	13,31711977835360	1
-13,78638288292900	13,58760636449480	1
-13,78159798237310	14,36229830383500	1
-13,78048878468100	13,08564224051040	1
-13,77668400248410	13,85057479927600	1
-13,77633404519500	14,71579507379320	1
-13,77285456608970	12,95940948186500	1
-13,76708287690160	13,42682303745770	1
-13,76507755411220	14,17189469814990	1
-13,76499296264190	15,12075687649400	1
-13,75901094287190	15,55668903113850	1
-13,75870829580400	12,35953074875240	1
-13,75835773195190	13,82750340915940	1
-13,75760736105490	13,08836845410610	1
-13,75578683724240	14,14417072475090	1
-13,75550309569720	14,59929954445440	1
-13,75126018137270	14,52128983617700	1
-13,74946412709290	14,70802860297100	1
-13,74631677728490	15,40502301098420	1
-13,74421473829180	14,38152247689720	1
-13,74220321624970	13,08253730209230	1
-13,74005602996420	12,28195709977800	1
-13,73863726264350	13,63233232618800	1
-13,73816469377480	13,93467327118830	1
-13,73658716616390	13,27998258535180	1
-13,73502234047920	12,06187027656380	1
-13,73471975008460	15,42113125376600	1
-13,72198017844210	14,30881398498680	1
-13,72156008693080	13,93231991596880	1
-13,72109421739900	14,01334000640400	1
-13,71504952286280	13,42735189313900	1
-13,71262744320930	13,42204618679160	1
-13,71070563575030	13,18052466626900	1
-13,71019548401780	13,50148989670570	1
-13,70978668992440	13,71957873587860	1
-13,70936341941370	13,57318055902750	1
-13,70841436419590	13,44930227830290	1
-13,70597418702270	15,16444854760800	1
-13,70574481395420	14,20791637631000	1
-13,70415936807960	14,79169019906830	1
-13,70280614779670	13,11757530189120	1
-13,70209386646890	14,78514734667330	1
-13,70010607342250	14,57581983552420	1
-13,69924001523620	13,37578366643920	1
-13,69860921863690	14,49814110173740	1
-13,69676037517160	13,81635963266570	1
-13,69439992848570	14,96402784532190	1
-13,68700995188510	13,97841404309870	1
-13,68624206095120	14,42247507295630	1
-13,68361999132530	12,27935194826790	1
-13,68028679821030	12,28458453601750	1
-13,67661645835930	12,93024779008460	1
-13,67476940451350	15,15590692487970	1
-13,67297220337480	14,06293581483840	1
-13,67082075270290	14,13469020463860	1
-13,66810192256460	15,14705376045570	1
-13,66615020515910	15,52778503472810	1
-13,66506418653960	15,60554618830930	1
-13,66394886893940	14,85315439000960	1
-13,66205661305900	13,52978913258810	1
-13,65825403291110	14,11270139118120	1
-13,65674976362500	15,27068327536070	1
-13,65561719120700	16,80999205974210	1
-13,65213541830470	11,86700030087050	1
-13,65174748688560	14,61110846089380	1
-13,65131305681200	12,46589625278080	1
-13,64992259502430	14,06311867076890	1
-13,64728579964520	14,53684852718530	1
-13,64600139270080	14,64170939366140	1
-13,63925177344760	14,45819880643340	1
-13,63905136472000	13,01884018832900	1
-13,63722497210330	14,88887838272780	1
-13,63583075125630	13,38980244919250	1
-13,63366133861340	12,98677581322750	1
-13,63214417690540	14,98151354213730	1
-13,62861876013980	14,44639553512460	1
-13,62449796590150	14,94685149836350	1
-13,62368201464360	15,64630512386910	1
-13,62248880256730	13,68847472287360	1
-13,62146223799760	13,39167314687430	1
-13,62144147861520	13,60033511710010	1
-13,61798775418060	14,30473918112410	1
-13,61636788363380	14,08647792075250	1
-13,61607012416260	13,65875174901980	1
-13,61420518306760	13,77670602860550	1
-13,61066755985280	13,51330234238350	1
-13,61026718056430	14,53675283713130	1
-13,60452889058630	12,88590659449240	1
-13,59762423595730	13,43659078697790	1
-13,59662299029880	15,00041339650090	1
-13,58794452299710	15,23834740920060	1
-13,58674596483120	13,76848951636360	1
