37	30	130	41	43	17	179
91	91	116	91	47	116	116
128	128	82	156	82	82	55
19	119	65	51	163	46	105
14	19	56	99	161	160	111
34	34	108	88	34	108	108
68	190	179	78	133	133	112
104	185	15	177	186	18	177
161	161	100	90	148	90	148
142	173	25	21	25	142	173
121	43	50	107	43	107	121
132	134	57	132	132	57	57
12	13	126	184	85	103	55
172	98	186	32	36	103	36
175	175	175	110	164	110	110
43	146	102	174	58	43	142
97	97	26	26	100	110	110
101	108	150	101	150	123	123
136	90	21	188	108	90	103
142	81	27	142	142	81	81
71	29	112	18	161	37	116
23	142	142	142	23	158	23
82	82	82	159	159	18	159
70	70	150	150	150	19	70
128	65	128	74	62	65	74
145	148	122	109	189	129	61
124	149	48	48	149	125	149
81	24	78	81	81	78	78
41	130	71	120	89	147	12
27	165	165	34	151	95	171
113	171	173	131	173	155	114
66	136	93	66	93	143	143
46	71	125	71	46	46	71
144	102	67	30	22	11	102
78	27	158	27	27	158	158
65	65	65	170	73	53	53
27	21	27	21	27	21	57
64	88	64	88	87	10	88
184	166	78	146	80	78	173
94	64	41	41	64	41	64
22	114	22	114	114	124	114
37	148	180	14	134	180	84
98	24	98	26	24	24	107
69	14	94	143	118	94	166
17	21	79	188	79	178	184
87	148	96	148	96	148	96
60	60	46	148	141	82	42
112	11	124	59	112	78	152
58	74	90	123	171	52	84
92	24	24	39	24	66	39
125	136	10	171	129	62	157
73	116	80	73	73	48	116
98	28	29	144	17	170	144
63	103	63	38	112	114	23
98	98	119	98	119	119	61
24	24	113	82	113	24	113
62	71	11	165	66	158	175
17	167	131	171	17	68	106
106	22	22	22	106	106	45
126	143	143	126	126	86	165
139	168	22	139	22	139	115
47	15	82	164	120	82	124
11	32	82	51	170	26	87
20	20	20	162	162	162	162
156	123	91	11	54	189	36
23	78	79	87	162	127	49
104	111	104	104	111	23	111
22	168	172	116	17	10	114
182	37	109	32	131	164	37
38	62	146	146	62	62	146
142	59	87	91	171	59	162
143	188	57	144	57	105	136
157	75	17	17	75	75	17
10	108	108	52	166	108	52
159	176	176	133	176	133	133
91	91	146	35	146	91	146
97	97	45	97	74	74	74
188	137	147	131	170	131	38
105	105	77	77	77	105	142
126	71	126	122	47	122	47
107	107	50	50	50	107	84
81	52	38	149	105	88	112
119	66	137	131	66	137	119
176	58	176	39	52	50	27
35	59	122	90	127	25	170
189	62	125	135	124	125	186
110	179	65	65	189	114	150
63	35	146	63	75	184	169
130	132	33	130	33	78	78
39	81	60	31	164	163	81
171	46	77	17	48	14	78
179	180	94	52	92	179	134
80	88	80	80	87	87	87
95	40	40	54	54	54	40
146	75	129	36	29	53	75
150	68	150	62	150	66	68
84	185	84	173	36	152	14
